,nombreVoluntario,serviciosDisponibles,estrellas,opinion,nombreMiembro,fotoMiembro
1009,Rocío Pintor,"['Salud', 'El día a día']",3,Estoy contenta,Joaquín Herranz,perfil_7mh.png
1010,Albina Aguado,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",2,El servicio no estuvo mal,Nicolás Puente,perfil_8mm.png
1011,Pastor Porta,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Adriana Solé,perfil_9mm.png
1012,Reyna Rius,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,El servicio no estuvo mal,Erasmo Quintana,perfil_10mh.png
1013,Bárbara Torrents,['Servicios del Municipio'],2,Está normal,Patricio Dueñas,perfil_8mm.png
1014,Isidoro Llamas,"['Salud', 'Burocracia', 'Servicios del Municipio']",3,Gracias,Lucila Luz,perfil_1mm.png
1015,Tristán Andres,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",1,Al final tuvo que irse antes,Lucas Marí,perfil_9mm.png
1016,Roque Navarrete,['Nuevas Tecnologías'],3,Gracias,Chelo Lozano,perfil_7mh.png
1017,Guiomar Quiroga,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Es amable aunque no divertida,Cristina Anglada,perfil_6mh.png
1018,Lourdes Solsona,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No sabía lo que le pedía,Morena Pol,perfil_6mh.png
1019,Zaira Amores,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",3,Me ha ayudado en lo que le he pedido,Chelo Rojas,perfil_12mh.png
1020,Victoria Prada,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Alma Luque,perfil_6mh.png
1021,Dora Blanes,"['Amigos y Ocio', 'El día a día']",3,Me lo he pasado bien,Ascensión Anaya,perfil_14mm.png
1022,Fernanda Cerdá,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",3,Ha estado bien,Leire Quiroga,perfil_6mh.png
1023,Roxana Serrano,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,No terminó de ayudarme,Luisa Cid,perfil_10mh.png
1024,Germán Juan,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Me ha ayudado en lo que le he pedido,Nando Lloret,perfil_8mm.png
1025,Reynaldo Morán,"['Salud', 'Servicios del Municipio']",5,"Gracias, ha sido toda una experiencia",Paco Perera,perfil_8mm.png
1026,Héctor Morillo,"['El día a día', 'Burocracia', 'Servicios del Municipio']",2,Es amable aunque no divertida,Teodosio Carrera,perfil_8mm.png
1027,Nicolás Robles,"['Amigos y Ocio', 'El día a día']",5,"Gracias, ha sido toda una experiencia",Cruz España,perfil_7mh.png
1028,José Antonio Azorin,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",5,No puedo estar más agradecida,Ruperta Casares,perfil_14mm.png
1029,Pancho Gomez,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",5,Fue un día estupendo,Leandra Bilbao,perfil_9mm.png
1030,Florentina Arjona,"['Salud', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Adelia Costa,perfil_7mh.png
1031,Marisela Anguita,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ayudó mucho en casa,Herberto Duarte,perfil_12mh.png
1032,Jose Miguel Almagro,"['Nuevas Tecnologías', 'Burocracia']",1,No me pudo acompañar donde yo quería,Bernabé Tomas,perfil_6mh.png
1033,Ester Gómez,"['Nuevas Tecnologías', 'Burocracia']",2,Es amable aunque no divertida,Wálter Mayoral,perfil_9mm.png
1034,Edmundo Gibert,"['Nuevas Tecnologías', 'Servicios del Municipio']",3,Me ha ayudado en lo que le he pedido,Calixto Cabezas,perfil_6mh.png
1035,Adela Jaén,"['Salud', 'Amigos y Ocio']",2,Está normal,Nico Uribe,perfil_6mh.png
1036,María Fernanda Peinado,"['Salud', 'Amigos y Ocio']",5,Encantado con toda la ayuda que he recibido,Fidela Salamanca,perfil_7mh.png
1037,Florencio Céspedes,['Salud'],1,Llegó tarde,Álvaro Manzanares,perfil_9mm.png
1038,María Amigó,"['Salud', 'Burocracia']",5,Sin duda seguiré utilizando este servicio,Carmela Arrieta,perfil_9mm.png
1039,Úrsula Perez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",5,Es un encanto y me ayudó a hablar con mis nietos,Clotilde Colomer,perfil_7mh.png
1040,Régulo Fiol,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Buenaventura Amat,perfil_1mm.png
1041,Carlos Herrero,"['El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ayudó en lo que necesitaba,Manuelita Santiago,perfil_4mh.png
1042,Cristian Mata,"['Amigos y Ocio', 'Servicios del Municipio']",4,Fue un día estupendo,Concepción Molins,perfil_6mh.png
1043,Remedios Armengol,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Alcides Calzada,perfil_7mh.png
1044,Ovidio Velasco,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Beatriz Cabañas,perfil_12mh.png
1045,Flora Nogueira,"['Nuevas Tecnologías', 'El día a día']",4,Es un encanto y me ayudó a hablar con mis nietos,Ciriaco Olivera,perfil_9mm.png
1046,Albano Trillo,"['Nuevas Tecnologías', 'Amigos y Ocio']",1,El día podría haber estado mejor,Natividad Calatayud,perfil_12mh.png
1047,Curro Rosselló,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Lupe Acevedo,perfil_4mh.png
1048,Porfirio Segura,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",3,Gracias,Emma Nicolás,perfil_7mh.png
1049,Laura Rozas,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",3,Gracias,Alfredo Sastre,perfil_7mh.png
1050,Gabriel Vélez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,No sabía lo que le pedía,Maricela Escudero,perfil_10mh.png
1051,Florina León,['Nuevas Tecnologías'],2,Es amable aunque no divertida,Lupita Ayllón,perfil_10mh.png
1052,Encarnación Tomás,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Julieta Rius,perfil_14mm.png
1053,Adela Ruano,"['Salud', 'Servicios del Municipio']",2,Está normal,Benjamín Neira,perfil_7mh.png
1054,Paola Ledesma,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha resuelto muchas dudas,Martirio Jover,perfil_8mm.png
1055,Amado Ferrando,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Mar Valero,perfil_4mh.png
1056,Sabas Moya,"['Nuevas Tecnologías', 'El día a día']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Cirino Puerta,perfil_9mm.png
1057,León Lorenzo,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Está normal,Marina Alarcón,perfil_4mh.png
1058,Pascual Vergara,['Burocracia'],4,No puedo estar más agradecida,Cristian Losa,perfil_12mh.png
1059,Salomón Muñoz,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,Es un encanto y me ayudó a hablar con mis nietos,Gil Abad,perfil_14mm.png
1060,Amaro Arenas,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",2,El servicio no estuvo mal,Gilberto Galán,perfil_8mm.png
1061,César Rovira,"['Salud', 'El día a día', 'Servicios del Municipio']",3,Me ha resuelto muchas dudas,María Gimenez,perfil_4mh.png
1062,Onofre Rubio,['El día a día'],3,Ha podido ayudarme en algunas cosas,Calixto Verdú,perfil_13mm.png
1063,Eloísa Vidal,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Me ha ayudado en lo que le he pedido,Benigno Mínguez,perfil_13mm.png
1064,David Plaza,"['Amigos y Ocio', 'Servicios del Municipio']",3,Gran dia,Mireia Cabrera,perfil_7mh.png
1065,Trinidad Falcón,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,No pudo ayudarme,Patricia Maldonado,perfil_8mm.png
1066,José Manuel Arregui,"['Nuevas Tecnologías', 'Servicios del Municipio']",2,No ha ido mal,Esperanza Feliu,perfil_14mm.png
1067,Leandra Abellán,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Clímaco Muro,perfil_7mh.png
1068,Aurora Figueras,"['Salud', 'Burocracia', 'Servicios del Municipio']",1,No me ayudó nada,María Fernanda Araujo,perfil_4mh.png
1069,Prudencio Rosado,"['Salud', 'Amigos y Ocio']",4,Fue un día estupendo,Sarita Valverde,perfil_7mh.png
1070,Buenaventura Mas,"['Burocracia', 'Servicios del Municipio']",5,Sin duda seguiré utilizando este servicio,Dulce Girón,perfil_14mm.png
1071,Anunciación Mendoza,"['Salud', 'Amigos y Ocio']",2,"Bueno, podría mejorar",Maribel Matas,perfil_4mh.png
1072,Griselda Real,"['Salud', 'El día a día']",3,Me ha resuelto muchas dudas,Celestina Barros,perfil_1mm.png
1073,Nacho Marqués,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Es muy amable,Nereida Sola,perfil_12mh.png
1074,Casandra Castejón,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,Llegó tarde,África Peñas,perfil_8mm.png
1075,Gregorio Rivero,"['El día a día', 'Burocracia']",4,Fue un día estupendo,David Mur,perfil_10mh.png
1076,Graciana Pinilla,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,El día podría haber estado mejor,Graciela Leal,perfil_7mh.png
1077,Inés Dávila,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",2,No ha podido ayudarme en lo que necesitaba,Celestina Dalmau,perfil_7mh.png
1078,Encarnación Mascaró,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Nydia Saura,perfil_10mh.png
1079,Santiago Abad,"['El día a día', 'Burocracia', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Asdrubal Diéguez,perfil_9mm.png
1080,Marco Madrid,['Salud'],2,No ha podido ayudarme en lo que necesitaba,Ciríaco Alegria,perfil_4mh.png
1081,Humberto Ropero,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",5,Encantado con toda la ayuda que he recibido,Quirino Mas,perfil_10mh.png
1082,Mireia Montserrat,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Está normal,Belén Tur,perfil_13mm.png
1083,Adela Salamanca,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Ha podido ayudarme en algunas cosas,Javiera Fabregat,perfil_12mh.png
1084,Imelda García,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,Al final tuvo que irse antes,Eva María Barrena,perfil_4mh.png
1085,Ariadna Sáenz,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",3,Gran dia,Poncio Gargallo,perfil_8mm.png
1086,Nadia Doménech,"['Nuevas Tecnologías', 'Amigos y Ocio']",5,Fue un día estupendo,Vinicio Canales,perfil_7mh.png
1087,Genoveva Blazquez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Darío Seguí,perfil_12mh.png
1088,Loreto Villalba,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Me lo he pasado bien,Eugenia Arce,perfil_12mh.png
1089,Gracia Naranjo,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",2,Puede mejorar,Amaya Criado,perfil_6mh.png
1090,Ciro Menéndez,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Milagros Román,perfil_1mm.png
1091,Jafet Colom,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Óscar Rodríguez,perfil_14mm.png
1092,Amador Arteaga,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",1,No es muy habladora,Amalia Valcárcel,perfil_8mm.png
1093,Jose Ignacio Beltran,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",3,Me ha ayudado en lo que le he pedido,Blas Peláez,perfil_12mh.png
1094,Xavier Ribas,"['Nuevas Tecnologías', 'Salud']",1,No es muy habladora,Rolando Falcó,perfil_10mh.png
1095,Soraya Ferreras,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,No ha ido mal,Violeta Calderón,perfil_12mh.png
1096,Lina Plana,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Calixta Gallo,perfil_10mh.png
1097,Ana Belén Pulido,"['Salud', 'Amigos y Ocio']",3,Me lo he pasado bien,Calixto Viña,perfil_4mh.png
1098,Jose Francisco Coloma,"['Nuevas Tecnologías', 'Salud']",2,No ha podido ayudarme en lo que necesitaba,Amor Murcia,perfil_6mh.png
1099,Gabriela Adán,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,Puede mejorar,Reina Farré,perfil_9mm.png
1100,Teodora Campillo,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",5,Fue un día estupendo,Asdrubal Villar,perfil_8mm.png
1101,Melania Rodríguez,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Olivia Ariza,perfil_6mh.png
1102,Isidoro Echeverría,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha resuelto muchas dudas,Juan Antonio Pavón,perfil_7mh.png
1103,Nilda Villaverde,"['Salud', 'Servicios del Municipio']",2,Está normal,Cebrián Arco,perfil_14mm.png
1104,Abril Ibañez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Maxi Tirado,perfil_8mm.png
1105,Yéssica Carrión,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,Tuvo muy poca paciencia,Virginia Alcántara,perfil_13mm.png
1106,Yago Cañellas,"['Salud', 'Amigos y Ocio']",1,No es muy habladora,Clotilde Torrecilla,perfil_12mh.png
1107,Nicolasa Sobrino,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,No puedo estar más agradecida,Leopoldo Bárcena,perfil_7mh.png
1108,Guadalupe Molins,['Nuevas Tecnologías'],2,Ha llegado tarde,Gloria Sales,perfil_1mm.png
1109,Marisol Salas,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Me lo he pasado bien,Alejo Pineda,perfil_4mh.png
1110,Emperatriz Vargas,['Burocracia'],4,No hubiera podido está más feliz,Haroldo Bartolomé,perfil_10mh.png
1111,Teodosio Salmerón,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,No puedo estar más agradecida,Fanny Luján,perfil_8mm.png
1112,Teófila Cuenca,['Burocracia'],3,Gracias,Purificación Contreras,perfil_10mh.png
1113,Mar Taboada,"['Nuevas Tecnologías', 'Amigos y Ocio']",5,"Gracias, ha sido toda una experiencia",Edelmira Sanabria,perfil_10mh.png
1114,Vinicio Jove,['Burocracia'],5,Sin duda seguiré utilizando este servicio,Odalis Higueras,perfil_6mh.png
1115,Maricruz Huertas,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",4,Fue un día estupendo,Abilio Moles,perfil_9mm.png
1116,Priscila Lluch,"['Amigos y Ocio', 'Burocracia']",2,Es amable aunque no divertida,Palmira Esteban,perfil_13mm.png
1117,María Dolores Vázquez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,Encantado con toda la ayuda que he recibido,Jacinta Martin,perfil_4mh.png
1118,Amada Haro,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,No habla mucho,Marisol Guitart,perfil_12mh.png
1119,Leonardo Sabater,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",2,No terminó de ayudarme,Dolores Arenas,perfil_9mm.png
1120,Casemiro Macias,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Gracias,Julio Miranda,perfil_4mh.png
1121,Joel Llabrés,"['Amigos y Ocio', 'El día a día', 'Burocracia']",5,No hubiera podido estar más feliz,Noelia Escolano,perfil_13mm.png
1122,Nico Montenegro,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,No ha ido mal,Macario Jáuregui,perfil_9mm.png
1123,Teodora Berrocal,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Amanda Pérez,perfil_4mh.png
1124,Emiliano Contreras,"['Amigos y Ocio', 'Burocracia']",1,No sabía lo que le pedía,Felisa Pastor,perfil_10mh.png
1125,Jerónimo Piñol,['El día a día'],3,Me ayudó mucho en casa,Eligio Vergara,perfil_14mm.png
1126,Joaquina Corominas,"['El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me acompañó en lo que necesitaba,Cecilio Hurtado,perfil_13mm.png
1127,Lara Gargallo,"['Nuevas Tecnologías', 'Salud', 'El día a día']",2,Está normal,Lorenza Rodriguez,perfil_14mm.png
1128,Bernardo Ribera,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",3,Gran dia,Amarilis Cabrero,perfil_4mh.png
1129,Saturnino Muro,"['Nuevas Tecnologías', 'Servicios del Municipio']",3,Me ha ayudado en lo que le he pedido,Agustín Elías,perfil_13mm.png
1130,Candela Solano,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,"Bueno, podría mejorar",Evangelina Cifuentes,perfil_1mm.png
1131,Severo Barrios,"['Nuevas Tecnologías', 'Amigos y Ocio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Candela Elorza,perfil_8mm.png
1132,Hilario Rivera,"['Salud', 'El día a día']",3,No hemos terminado de congeniar pero ha estado bien,Rosalinda Guzmán,perfil_1mm.png
1133,Roque Aller,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Cristóbal Villalobos,perfil_6mh.png
1134,Rocío Pintor,"['Salud', 'El día a día']",5,Es un encanto y me ayudó a hablar con mis nietos,Albina Lumbreras,perfil_12mh.png
1135,Albina Aguado,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,No me entendía,Ignacia Valentín,perfil_14mm.png
1136,Pastor Porta,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Bien,Edu Piquer,perfil_10mh.png
1137,Reyna Rius,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,"Gracias, ha sido toda una experiencia",Ruy Zorrilla,perfil_6mh.png
1138,Bárbara Torrents,['Servicios del Municipio'],3,Gracias,Claudio Amador,perfil_10mh.png
1139,Isidoro Llamas,"['Salud', 'Burocracia', 'Servicios del Municipio']",1,No habla mucho,Hipólito Martín,perfil_4mh.png
1140,Tristán Andres,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Sergio Bellido,perfil_6mh.png
1141,Roque Navarrete,['Nuevas Tecnologías'],4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Porfirio Piñol,perfil_13mm.png
1142,Guiomar Quiroga,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Ha estado bien,Nilda Falcón,perfil_12mh.png
1143,Lourdes Solsona,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,No hemos terminado de congeniar pero ha estado bien,Pili Mata,perfil_10mh.png
1144,Zaira Amores,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",4,Es un encanto y me ayudó a hablar con mis nietos,Francisco Robles,perfil_6mh.png
1145,Victoria Prada,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Wilfredo Casals,perfil_8mm.png
1146,Dora Blanes,"['Amigos y Ocio', 'El día a día']",2,Ha llegado tarde,Vinicio Toro,perfil_4mh.png
1147,Fernanda Cerdá,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Sandalio Ribera,perfil_14mm.png
1148,Roxana Serrano,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,No puedo estar más agradecida,Flavio Bas,perfil_4mh.png
